2024-06-04 13:32:16.738 [main] INFO  c.j.b.SpringSecurityApplication - Starting SpringSecurityApplication using Java 17.0.10 with PID 22748 (C:\Project\WorkSpace\PerfectCode-basicAuth\SpringSecurity-BasicAuth\target\classes started by trand in C:\Project\WorkSpace\PerfectCode-basicAuth\SpringSecurity-BasicAuth)
2024-06-04 13:32:16.740 [main] INFO  c.j.b.SpringSecurityApplication - No active profile set, falling back to 1 default profile: "default"
2024-06-04 13:32:17.279 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-04 13:32:17.314 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 30 ms. Found 1 JPA repository interface.
2024-06-04 13:32:17.736 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-06-04 13:32:17.742 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-06-04 13:32:17.743 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-06-04 13:32:17.743 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-06-04 13:32:17.796 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-06-04 13:32:17.798 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1022 ms
2024-06-04 13:32:17.919 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-06-04 13:32:18.853 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@32ae8f27
2024-06-04 13:32:18.854 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-06-04 13:32:18.882 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-06-04 13:32:18.918 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2024-06-04 13:32:18.943 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-06-04 13:32:19.080 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-06-04 13:32:20.435 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-06-04 13:32:20.437 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-06-04 13:32:20.639 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-06-04 13:32:20.691 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-06-04 13:32:21.113 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3cc548f6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3fed0c04, org.springframework.security.web.context.SecurityContextHolderFilter@6bfc5296, org.springframework.security.web.header.HeaderWriterFilter@3a720ae3, org.springframework.security.web.authentication.logout.LogoutFilter@2c7607e5, com.jd.basicauth.config.RequestLoggingFilter@654e6a90, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@24890021, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@457d3f54, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@144792d5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@563bd6a4, org.springframework.security.web.access.ExceptionTranslationFilter@6c6c93f8, org.springframework.security.web.access.intercept.AuthorizationFilter@19ee0a2f]
2024-06-04 13:32:21.290 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2024-06-04 13:32:21.303 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2024-06-04 13:32:21.310 [main] INFO  c.j.b.SpringSecurityApplication - Started SpringSecurityApplication in 4.819 seconds (process running for 5.197)
